OBJECTID,businessUnit_name,businessUnit_number,Description,Type,Address,City,County,State,Postal Code,Operation Status,GlobalID,x,y
38384,TROY OH,1410,WM Supercenter,Retail,1801 W MAIN ST,TROY,MIAMI,OH,45373-2303,Open,1457f63b-e557-40eb-add7-b00ef62064ce,-9377062.4289,4874173.1218
38385,GREEN VALLEY AZ,1411,WM Supercenter,Retail,18680 S NOGALES HWY,GREEN VALLEY,PIMA,AZ,85614-5284,Open,65a648b6-ceb7-488f-94c8-45163dc9657c,-12354372.1188,3751664.4731
38386,LARAMIE WY,1412,WM Supercenter,Retail,4308 E GRAND AVE,LARAMIE,ALBANY,WY,82070-5508,Open,28da651f-193c-44a5-91a3-f15b0efe37b6,-11748712.0464,5056935.6727
38387,CRYSTAL LAKE IL,1413,WM Supercenter,Retail,1205 S IL ROUTE 31,CRYSTAL LAKE,MCHENRY,IL,60014-8213,Open,dc80cf60-42dd-47c5-9932-c28318d1b5bf,-9827600.5719,5192387.5215
38388,BELEN NM,1414,WM Supercenter,Retail,1 I 25 BYP,BELEN,VALENCIA,NM,87002-8170,Open,e7119c8f-a686-4367-8d3a-a4acff092895,-11885397.353,4122804.2071
38389,SPIRIT LAKE IA,1415,WM Supercenter,Retail,2200 17TH ST,SPIRIT LAKE,DICKINSON,IA,51360-1007,Open,453efa7c-786b-4878-baa3-76faa67be336,-10589207.6737,5376807.7635
38390,NAPOLEON OH,1416,WM Supercenter,Retail,1815 SCOTT ST,NAPOLEON,HENRY,OH,43545-1086,Open,6ff0c64d-bb19-4700-94b9-0d8285345627,-9365874.4861,5072121.0854
38391,PRESCOTT AZ,1417,WM Supercenter,Retail,3050 E STATE ROUTE 69,PRESCOTT,YAVAPAI,AZ,86301-6743,Open,132079a0-6d8c-42a6-9e88-a110337104b3,-12513262.6581,4103537.0054
38392,"O`FALLON, IL",1418,WM Supercenter,Retail,1530 WEST HWY 50,O FALLON,ST. CLAIR,IL,62269-1619,Open,d4fb17c6-fb23-43f2-ab31-45b225b23299,-10013634.4767,4663837.2512
38393,FT WAYNE(N) IN,1419,WM Supercenter,Retail,5311 COLDWATER RD,FORT WAYNE,ALLEN,IN,46825-5444,Open,885e333e-65ab-46e6-bca6-7245d7001190,-9477536.7296,5031233.3562
38394,STREAMWOOD IL,1420,WM Supercenter,Retail,850 S BARRINGTON RD,STREAMWOOD,COOK,IL,60107-2255,Open,6bf7762b-6c2a-45e5-8fff-8a8781698e18,-9812606.5045,5163264.843
38395,WASHINGTON/ MEADOWS,1421,WM Supercenter,Retail,1980 FREEDOM PKWY,WASHINGTON,TAZEWELL,IL,61571-9468,Open,822cc854-bb19-49b7-b2e5-d46912c09a56,-9958307.02,4969201.7561
38396,ALMA MI,1422,WM Supercenter,Retail,7700 N ALGER RD,ALMA,GRATIOT,MI,48801-9320,Open,1110d71b-8bfc-4dd5-8fc0-37ab828f89d3,-9424771.9589,5373591.4207
38397,ST JOHNS MI,1423,WM Supercenter,Retail,1165 SUPERIOR DR,SAINT JOHNS,CLINTON,MI,48879-8234,Open,2f93e909-491e-4aaa-a6f1-9ce59b4b00bf,-9410808.5985,5308741.439
38398,COLONIAL HEIGHTS VA,1424,WM Supercenter,Retail,671 SOUTHPARK BLVD,COLONIAL HEIGHTS,COLONIAL HEIGHTS CITY,VA,23834-3617,Open,54056fda-6c58-4055-a2fc-33cd167cbe6f,-8614608.4084,4473427.7973
38399,COLUMBIA CITY IN,1425,WM Supercenter,Retail,402 W PLAZA DR,COLUMBIA CITY,WHITLEY,IN,46725-1051,Open,9759468b-c548-44fb-b8a3-f0c03f416854,-9517436.9747,5037573.572
38400,ASHLAND KY,1426,WM Supercenter,Retail,351 RIVER HILL DR,ASHLAND,BOYD,KY,41101-7397,Open,ed626030-8c36-43fd-8f8c-b67426221278,-9201446.136,4648252.0548
